Word,Socialness,LgSUBTLWF,OLD,PLD,Concreteness,Imageability,BOI,SER,Auditory.Lancaster,Gustatory.Lancaster,Haptic.Lancaster,Interoceptive_Lancaster,Olfactory.Lancaster,Visual.Lancaster,Foot_leg.Lancaster,Hand_arm.Lancaster,Head.Lancaster,Mouth.Lancaster,Torso.Lancaster,Minkowski3.perceptual.Lancaster,Exclusivity.perceptual.Lancaster,Valence_Warriner,Arousal_Warriner,Dominance.Warriner,Val_pos,Val_neg,Val_ext,Valence.Mohammad,Arousal.Mohammad,Dominance.Mohammad,SemanticDiversity,AoA.Rating,AoA.Test,GenderAssociation,Emotion.Troche,Polarity.Troche,Social.Troche,Moral.Troche,Thought.Troche,Social.Binder,Human.Binder,Communication.Binder,Self.Binder,Cognition.Binder,Benefit.Binder,Harm.Binder,Pleasant.Binder,Unpleasant.Binder,Happy.Binder,Sad.Binder,Angry.Binder,Disgusted.Binder,Fearful.Binder,Surprised.Binder,ANS
abandonment,4.681818182,1.699,4.4,4.45,2.54,NA,NA,NA,2.133333333,0.066666667,1.2,2.933333333,0.066666667,3,0.523809524,0.428571429,2.142857143,0.714285714,0.333333333,3.993266449,0.312056738,2.63,4.95,2.64,NA,2.63,2.37,0.128,0.43,0.202,1.95,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54690212
abdomen,2.217391304,2.236,3,3,4.7,NA,5.434782609,NA,0.588235294,0.235294118,3.294117647,2.352941176,0.235294118,3.647058824,0.263157895,1.315789474,0.947368421,0.210526316,4.157894737,4.602756587,0.329545455,5.43,3.68,5.15,5.43,NA,0.43,0.469,0.462,0.471,1.23,8.61,6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560193837
abdominal,2.285714286,2.243,3.75,4,4.28,NA,3.92,NA,0.933333333,0.2,3.2,2.733333333,0.2,3.8,0.333333333,0.476190476,0.857142857,0.380952381,4.142857143,4.775249829,0.325301205,4.48,3.5,5.32,NA,4.48,0.52,0.49,0.456,0.445,1.08,10.24,6,4.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561240137
abduct,5,1.568,2.5,2.55,2.88,4.8,1.791666667,4.1,1.736842105,0,1,0.578947368,0.105263158,2.894736842,1.95,2.55,2.35,1.85,1.7,3.130910426,0.458333333,2.42,5.9,2.75,NA,2.42,2.58,0.173,0.72,0.615,NA,11.26,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371569633
abduction,5.285714286,2.269,2.7,2.65,3.07,NA,NA,NA,2.058823529,0,1.529411765,2.176470588,0,4,1.80952381,2.333333333,1.952380952,1.476190476,1.333333333,4.424489624,0.409638554,2.05,5.33,3.02,NA,2.05,2.95,0.062,0.99,0.673,1.48,11.94,10,4.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532117784
ability,4.782608696,2.992,2.3,2.3,1.81,NA,NA,NA,1.222222222,0.277777778,0.833333333,2.555555556,0.166666667,2,2.454545455,2.545454545,2.727272727,1.954545455,1.954545455,3.004457885,0.338582677,7,4.85,6.55,7,NA,2,0.875,0.51,0.816,2.06,8.84,2,4.206,4.52,4.85,4.24,4.65,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66938442
abject,3.5,1.322,2.35,2.75,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.94,4.35,NA,4,1,0.354,0.59,0.417,1.88,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294056445
ablaze,2.565217391,1.342,2.25,1.95,3.82,NA,2.08,NA,1.470588235,0,1.117647059,0.823529412,0.941176471,3.705882353,0.388888889,0.555555556,2.277777778,0.722222222,0.333333333,3.845429492,0.459854015,5.15,6.75,4.58,5.15,NA,0.15,0.24,0.847,0.525,1.66,10.83,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387351662
abomination,4.571428571,1.771,NA,NA,2.23,NA,NA,NA,1.75,0.05,0.35,1.35,0.15,3.2,0.65,1.05,2.8,1.2,0.75,3.437929533,0.459854015,2.5,5.9,3.8,NA,2.5,2.5,0.078,0.755,0.518,NA,11.17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352184355
abort,4.04,2.373,1.95,1.9,2.83,4.1,1.541666667,3,2.0625,0,0.375,1.5,0,2.8125,0.80952381,1.333333333,1.523809524,0.80952381,0.761904762,3.253801641,0.416666667,3.1,5.8,3.38,NA,3.1,1.9,0.153,0.686,0.429,1.28,12.21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391536266
abrasive,3.666666667,1.38,2.9,2.7,3.03,NA,1.814814815,NA,1.333333333,0.466666667,4.266666667,0.8,0.4,2,2.315789474,4.368421053,1.842105263,1.947368421,1.526315789,4.460063012,0.417266187,4.26,6.1,4.94,NA,4.26,0.74,0.392,0.61,0.593,1.5,12.22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4549115
